Q21,Q22,Q23,Q63,Q1,Q55,Q56,Q59,Q60,Q61,Q63,Q64,Q65,Q67,Q68,Q69,Q71,Q72,Q73,Q75,Q76,Q77,Q79,Q80,Q81,Q83,Q84,Q85,Q87,Q88,Q89,Q91,Q92,Q93,Q95,Q96,Q97,Q99,Q100,Q101,Q1,Q55,Q56,Q59,Q60,Q61,Q63,Q64,Q65,Q67,Q68,Q69,Q71,Q72,Q73,Q75,Q76,Q77,Q79,Q80,Q81,Q83,Q84,Q85,Q87,Q88,Q89,Q91,Q92,Q93,Q95,Q96,Q97,Q99,Q100,Q101,Q1,Q55,Q56,Q59,Q60,Q61,Q63,Q64,Q65,Q67,Q68,Q69,Q71,Q72,Q73,Q75,Q76,Q77,Q79,Q80,Q81,Q83,Q84,Q85,Q87,Q88,Q89,Q91,Q92,Q93,Q95,Q96,Q97,Q99,Q100,Q101,Q1,Q55,Q56,Q59,Q60,Q61,Q63,Q64,Q65,Q67,Q68,Q69,Q71,Q72,Q73,Q75,Q76,Q77,Q79,Q80,Q81,Q83,Q84,Q85,Q87,Q88,Q89,Q91,Q92,Q93,Q95,Q96,Q97,Q99,Q100,Q101,Q1,Q55,Q56,Q59,Q60,Q61,Q63,Q64,Q65,Q67,Q68,Q69,Q71,Q72,Q73,Q75,Q76,Q77,Q79,Q80,Q81,Q83,Q84,Q85,Q87,Q88,Q89,Q91,Q92,Q93,Q95,Q96,Q97,Q99,Q100,Q101,Q1,Q55,Q56,Q59,Q60,Q61,Q63,Q64,Q65,Q67,Q68,Q69,Q71,Q72,Q73,Q75,Q76,Q77,Q79,Q80,Q81,Q83,Q84,Q85,Q87,Q88,Q89,Q91,Q92,Q93,Q95,Q96,Q97,Q99,Q100,Q101,Q1,Q55,Q56,Q59,Q60,Q61,Q63,Q64,Q65,Q67,Q68,Q69,Q71,Q72,Q73,Q75,Q76,Q77,Q79,Q80,Q81,Q83,Q84,Q85,Q87,Q88,Q89,Q91,Q92,Q93,Q95,Q96,Q97,Q99,Q100,Q101,Q268,SC0,Score
"Let's start with an example. 
This recording is of a speaker who is either a genuine speaker of the General North American accent, or a mimic. Please listen to the below recording twice and then make your decision. 
Is this a genuine speaker or mimic?",My confidence in my answer is...,I believe this accent is a...,Do you speak naturally in one of the following accents?,Please listen to the below recording twice. Is this a genuine speaker of the Belfast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Belfast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Belfast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Belfast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Belfast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Belfast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Belfast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Belfast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Belfast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Belfast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Belfast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Belfast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Bristol accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Bristol accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Bristol accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Bristol accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Bristol accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Bristol accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Bristol accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Bristol accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Bristol accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Bristol accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Bristol accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Bristol accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Dublin accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Dublin accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Dublin accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Dublin accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Dublin accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Dublin accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Dublin accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Dublin accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Dublin accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Dublin accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Dublin accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Dublin accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Essex accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Essex accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Essex accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Essex accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Essex accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Essex accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Essex accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Essex accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Essex accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Essex accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Essex accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Essex accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Glasgow accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Glasgow accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Glasgow accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Glasgow accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Glasgow accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Glasgow accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Glasgow accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Glasgow accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Glasgow accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Glasgow accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Glasgow accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Glasgow accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Northeast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Northeast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Northeast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Northeast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Northeast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Northeast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Northeast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Northeast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Northeast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Northeast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Northeast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the Northeast accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the RP accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the RP accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the RP accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the RP accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the RP accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the RP accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the RP accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the RP accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the RP accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the RP accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the RP accent?,My confidence in my answer is...,I believe this accent is a...,Please listen to the below recording twice. Is this a genuine speaker of the RP accent?,My confidence in my answer is...,I believe this accent is a...,Great job! Would you like to see your score?,Score,Score
"{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID144""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID152""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154""}","{""ImportId"":""QID155""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID158""}","{""ImportId"":""QID159""}","{""ImportId"":""QID160""}","{""ImportId"":""QID161""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""QID170""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID176""}","{""ImportId"":""QID177""}","{""ImportId"":""QID178""}","{""ImportId"":""QID179""}","{""ImportId"":""QID180""}","{""ImportId"":""QID181""}","{""ImportId"":""QID182""}","{""ImportId"":""QID183""}","{""ImportId"":""QID184""}","{""ImportId"":""QID185""}","{""ImportId"":""QID186""}","{""ImportId"":""QID187""}","{""ImportId"":""QID188""}","{""ImportId"":""QID189""}","{""ImportId"":""QID190""}","{""ImportId"":""QID191""}","{""ImportId"":""QID192""}","{""ImportId"":""QID193""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID196""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID199""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID204""}","{""ImportId"":""QID205""}","{""ImportId"":""QID206""}","{""ImportId"":""QID1""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID207""}","{""ImportId"":""QID208""}","{""ImportId"":""QID209""}","{""ImportId"":""QID210""}","{""ImportId"":""QID211""}","{""ImportId"":""QID212""}","{""ImportId"":""QID213""}","{""ImportId"":""QID214""}","{""ImportId"":""QID215""}","{""ImportId"":""QID216""}","{""ImportId"":""QID217""}","{""ImportId"":""QID218""}","{""ImportId"":""QID219""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID223""}","{""ImportId"":""QID224""}","{""ImportId"":""QID225""}","{""ImportId"":""QID226""}","{""ImportId"":""QID227""}","{""ImportId"":""QID228""}","{""ImportId"":""QID229""}","{""ImportId"":""QID230""}","{""ImportId"":""QID231""}","{""ImportId"":""QID232""}","{""ImportId"":""QID233""}","{""ImportId"":""QID234""}","{""ImportId"":""QID235""}","{""ImportId"":""QID236""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238""}","{""ImportId"":""QID239""}","{""ImportId"":""QID240""}","{""ImportId"":""QID241""}","{""ImportId"":""QID242""}","{""ImportId"":""QID243""}","{""ImportId"":""QID244""}","{""ImportId"":""QID245""}","{""ImportId"":""QID246""}","{""ImportId"":""QID247""}","{""ImportId"":""QID248""}","{""ImportId"":""QID249""}","{""ImportId"":""QID250""}","{""ImportId"":""QID251""}","{""ImportId"":""QID252""}","{""ImportId"":""QID253""}","{""ImportId"":""QID254""}","{""ImportId"":""QID255""}","{""ImportId"":""QID256""}","{""ImportId"":""QID257""}","{""ImportId"":""QID258""}","{""ImportId"":""QID259""}","{""ImportId"":""QID260""}","{""ImportId"":""QID261""}","{""ImportId"":""QID262""}","{""ImportId"":""QID263""}","{""ImportId"":""QID264""}","{""ImportId"":""QID265""}","{""ImportId"":""QID266""}","{""ImportId"":""QID267""}","{""ImportId"":""QID268""}","{""ImportId"":""QID269""}","{""ImportId"":""QID270""}","{""ImportId"":""QID271""}","{""ImportId"":""QID272""}","{""ImportId"":""QID273""}","{""ImportId"":""QID274""}","{""ImportId"":""QID275""}","{""ImportId"":""QID276""}","{""ImportId"":""QID277""}","{""ImportId"":""QID278""}","{""ImportId"":""QID279""}","{""ImportId"":""QID280""}","{""ImportId"":""QID281""}","{""ImportId"":""QID282""}","{""ImportId"":""QID283""}","{""ImportId"":""QID284""}","{""ImportId"":""QID285""}","{""ImportId"":""QID286""}","{""ImportId"":""QID287""}","{""ImportId"":""QID288""}","{""ImportId"":""QID289""}","{""ImportId"":""QID290""}","{""ImportId"":""QID291""}","{""ImportId"":""QID292""}","{""ImportId"":""QID293""}","{""ImportId"":""QID294""}","{""ImportId"":""QID295""}","{""ImportId"":""QID296""}","{""ImportId"":""QID297""}","{""ImportId"":""QID298""}","{""ImportId"":""QID299""}","{""ImportId"":""QID300""}","{""ImportId"":""QID301""}","{""ImportId"":""QID302""}","{""ImportId"":""QID303""}","{""ImportId"":""QID304""}","{""ImportId"":""QID305""}","{""ImportId"":""QID306""}","{""ImportId"":""QID307""}","{""ImportId"":""QID308""}","{""ImportId"":""QID309""}","{""ImportId"":""QID310""}","{""ImportId"":""QID311""}","{""ImportId"":""QID312""}","{""ImportId"":""QID313""}","{""ImportId"":""QID314""}","{""ImportId"":""QID315""}","{""ImportId"":""QID316""}","{""ImportId"":""QID317""}","{""ImportId"":""QID318""}","{""ImportId"":""QID319""}","{""ImportId"":""QID320""}","{""ImportId"":""QID321""}","{""ImportId"":""QID322""}","{""ImportId"":""QID323""}","{""ImportId"":""QID324""}","{""ImportId"":""QID325""}","{""ImportId"":""QID326""}","{""ImportId"":""QID327""}","{""ImportId"":""QID328""}","{""ImportId"":""QID329""}","{""ImportId"":""QID330""}","{""ImportId"":""QID331""}","{""ImportId"":""QID332""}","{""ImportId"":""QID333""}","{""ImportId"":""QID334""}","{""ImportId"":""QID335""}","{""ImportId"":""QID336""}","{""ImportId"":""QID337""}","{""ImportId"":""QID338""}","{""ImportId"":""QID339""}","{""ImportId"":""QID340""}","{""ImportId"":""QID341""}","{""ImportId"":""QID342""}","{""ImportId"":""QID343""}","{""ImportId"":""QID344""}","{""ImportId"":""QID345""}","{""ImportId"":""QID346""}","{""ImportId"":""QID347""}","{""ImportId"":""QID348""}","{""ImportId"":""QID349""}","{""ImportId"":""QID350""}","{""ImportId"":""QID354""}","{""ImportId"":""SC_5naQnylLL5alfds""}","{""ImportId"":""Score""}"
Mimic,3 — I am confident in my response,Weak accent,I do not speak naturally in one of the above accents.,,,,,,,,,,,,,Genuine,1 — I am not confident in my response,Weak accent,,,,Mimic,3 — I am confident in my response,Strong accent,,,,,,,,,,,,,,,,,,,Mimic,1 — I am not confident in my response,Weak accent,,,,,,,,,,,,,,,,Genuine,1 — I am not confident in my response,Strong accent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mimic,2 — I am somewhat confident in my response,Weak accent,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Weak accent,,,,,,,Genuine,3 — I am confident in my response,Weak accent,,,,,,,,,,,,,,,,Genuine,1 — I am not confident in my response,Weak accent,,,,,,,,,,,,,,,,,,,,,,Mimic,2 — I am somewhat confident in my response,Weak accent,,,,,,,,,,,,,,,,,,,,,,Genuine,3 — I am confident in my response,Strong accent,,,,,,,Genuine,3 — I am confident in my response,Strong accent,,,,,,,Genuine,2 — I am somewhat confident in my response,Weak accent,,,,,,,,,,,,,,,,,,,,,,Genuine,1 — I am not confident in my response,Weak accent,,,,,,,,,,Yes please!,7,7
Mimic,2 — I am somewhat confident in my response,Weak accent,Received Pronunciation (RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Unsure,Mimic,3 — I am confident in my response,Weak accent,Genuine,3 — I am confident in my response,Weak accent,Genuine,3 — I am confident in my response,Unsure,Genuine,2 — I am somewhat confident in my response,Weak accent,Mimic,2 — I am somewhat confident in my response,Unsure,Mimic,2 — I am somewhat confident in my response,Unsure,Mimic,2 — I am somewhat confident in my response,Unsure,Mimic,2 — I am somewhat confident in my response,Strong accent,Genuine,3 — I am confident in my response,Weak accent,Mimic,3 — I am confident in my response,Unsure,Mimic,3 — I am confident in my response,Unsure,Yes please!,9,9
Mimic,1 — I am not confident in my response,Unsure,I do not speak naturally in one of the above accents.,Mimic,2 — I am somewhat confident in my response,Weak accent,,,,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genuine,1 — I am not confident in my response,Strong accent,,,,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,Genuine,2 — I am somewhat confident in my response,Weak accent,,,,,,,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mimic,2 — I am somewhat confident in my response,Strong accent,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,,,,,,,Mimic,2 — I am somewhat confident in my response,Weak accent,,,,,,,,,,Genuine,1 — I am not confident in my response,Weak accent,,,,,,,,,,,,,,,,,,,,,,Genuine,1 — I am not confident in my response,Strong accent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mimic,2 — I am somewhat confident in my response,Strong accent,,,,Mimic,1 — I am not confident in my response,Weak accent,,,,,,,,,,,,,Mimic,1 — I am not confident in my response,Weak accent,,,,,,,,,,,,,,,,Yes please!,8,8
Mimic,2 — I am somewhat confident in my response,Weak accent,I do not speak naturally in one of the above accents.,Genuine,2 — I am somewhat confident in my response,Weak accent,,,,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mimic,2 — I am somewhat confident in my response,Weak accent,,,,,,,,,,,,,Mimic,2 — I am somewhat confident in my response,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genuine,3 — I am confident in my response,Strong accent,Genuine,3 — I am confident in my response,Strong accent,,,,,,,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,,,,Mimic,3 — I am confident in my response,Weak accent,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mimic,2 — I am somewhat confident in my response,Weak accent,,,,,,,Genuine,2 — I am somewhat confident in my response,Weak accent,,,,,,,,,,,,,Mimic,2 — I am somewhat confident in my response,Weak accent,,,,,,,,,,,,,,,,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Weak accent,,,,,,,Mimic,3 — I am confident in my response,Weak accent,,,,,,,,,,,,,,,,,,,,,,Genuine,3 — I am confident in my response,Strong accent,,,,Yes please!,6,6
Mimic,3 — I am confident in my response,Unsure,I do not speak naturally in one of the above accents.,,,,,,,,,,,,,,,,,,,,,,Genuine,1 — I am not confident in my response,Unsure,,,,,,,,,,Mimic,1 — I am not confident in my response,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,Genuine,1 — I am not confident in my response,Unsure,Genuine,1 — I am not confident in my response,Unsure,,,,,,,,,,,,,,,,,,,Mimic,1 — I am not confident in my response,Unsure,,,,,,,,,,Mimic,1 — I am not confident in my response,Unsure,,,,,,,,,,Genuine,1 — I am not confident in my response,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genuine,1 — I am not confident in my response,Unsure,,,,,,,,,,Genuine,1 — I am not confident in my response,Unsure,,,,,,,Genuine,1 — I am not confident in my response,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genuine,1 — I am not confident in my response,Unsure,Genuine,1 — I am not confident in my response,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,Genuine,1 — I am not confident in my response,Weak accent,Genuine,1 — I am not confident in my response,Unsure,,,,,,,,,,Yes please!,4,4
Mimic,2 — I am somewhat confident in my response,Unsure,I do not speak naturally in one of the above accents.,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,,,,,,,,,,,,,Mimic,2 — I am somewhat confident in my response,Strong accent,,,,,,,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mimic,2 — I am somewhat confident in my response,Strong accent,,,,Mimic,3 — I am confident in my response,Unsure,,,,,,,,,,,,,,,,,,,,,,Mimic,2 — I am somewhat confident in my response,Unsure,,,,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,,,,,,,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,,,,Mimic,1 — I am not confident in my response,Weak accent,,,,,,,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,,,,,,,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,Genuine,1 — I am not confident in my response,Weak accent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mimic,2 — I am somewhat confident in my response,Unsure,,,,,,,,,,,,,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Weak accent,Yes please!,9,9
Mimic,2 — I am somewhat confident in my response,Unsure,I do not speak naturally in one of the above accents.,,,,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Weak accent,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genuine,1 — I am not confident in my response,Strong accent,,,,,,,Mimic,2 — I am somewhat confident in my response,Weak accent,,,,,,,,,,,,,,,,,,,,,,,,,Genuine,1 — I am not confident in my response,Strong accent,,,,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,,,,,,,,,,,,,,,,Mimic,3 — I am confident in my response,Unsure,,,,Genuine,2 — I am somewhat confident in my response,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,Mimic,2 — I am somewhat confident in my response,Weak accent,,,,,,,,,,,,,,,,,,,,,,Mimic,2 — I am somewhat confident in my response,Strong accent,,,,,,,,,,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Strong accent,,,,,,,,,,,,,Genuine,2 — I am somewhat confident in my response,Unsure,,,,,,,,,,Genuine,3 — I am confident in my response,Strong accent,,,,,,,,,,,,,,,,,,,,,,Yes please!,10,10
